 szen    pzen  relazm  Refl1        Refl2        TauIn      AefIn
  60.00   0.00   0.00  7.15600E-01  4.37855E-01  0.500E+02  16.00
  60.00   0.00   0.00  7.28900E-01  4.38213E-01  0.550E+02  16.00
  60.00   0.00   0.00  7.40300E-01  4.38405E-01  0.600E+02  16.00
  60.00   0.00   0.00  7.50200E-01  4.38508E-01  0.650E+02  16.00
  60.00   0.00   0.00  7.58800E-01  4.38563E-01  0.700E+02  16.00
  60.00   0.00   0.00  7.66300E-01  4.38592E-01  0.750E+02  16.00
  60.00   0.00   0.00  7.72900E-01  4.38608E-01  0.800E+02  16.00
  60.00   0.00   0.00  7.78800E-01  4.38617E-01  0.850E+02  16.00
  60.00   0.00   0.00  7.84000E-01  4.38621E-01  0.900E+02  16.00
  60.00   0.00   0.00  7.88800E-01  4.38624E-01  0.950E+02  16.00
  60.00   0.00   0.00  7.93000E-01  4.38625E-01  0.100E+03  16.00
